station,year,TMIN
USW00023271,2000,22
USW00093225,2000,0
USW00023271,2000,0
USW00093225,2000,-22
USW00023271,2000,11
USW00093225,2000,0
USW00023271,2000,33
USW00093225,2000,28
USW00023271,2000,17
USW00093225,2000,33
USW00023271,2000,0
USW00093225,2000,-33
USW00023271,2000,17
USW00093225,2000,0
USW00023271,2000,22
USW00093225,2000,6
USW00023271,2000,22
USW00093225,2000,-6
USW00023271,2000,78
USW00093225,2000,50
USW00023271,2000,89
USW00093225,2000,78
USW00023271,2000,61
USW00093225,2000,33
USW00023271,2000,50
USW00093225,2000,33
USW00023271,2000,61
USW00093225,2000,56
USW00023271,2000,100
USW00093225,2000,94
USW00023271,2000,67
USW00093225,2000,56
USW00023271,2000,67
USW00093225,2000,50
USW00023271,2000,89
USW00093225,2000,83
USW00023271,2000,100
USW00093225,2000,106
USW00023271,2000,72
USW00093225,2000,67
USW00023271,2000,61
USW00093225,2000,50
USW00023271,2000,56
USW00093225,2000,44
USW00023271,2000,100
USW00093225,2000,89
USW00023271,2000,100
USW00093225,2000,100
USW00023271,2000,94
USW00093225,2000,83
USW00023271,2000,78
USW00093225,2000,72
USW00023271,2000,61
USW00093225,2000,44
USW00023271,2000,33
USW00093225,2000,6
USW00023271,2000,44
USW00093225,2000,28
USW00023271,2000,89
USW00093225,2000,78
USW00023271,2000,44
USW00093225,2000,78
USW00023271,2000,83
USW00093225,2000,83
USW00023271,2000,61
USW00093225,2000,44
USW00023271,2000,78
USW00093225,2000,50
USW00023271,2000,78
USW00093225,2000,61
USW00023271,2000,83
USW00093225,2000,67
USW00023271,2000,72
USW00093225,2000,50
USW00023271,2000,61
USW00093225,2000,39
USW00023271,2000,83
USW00093225,2000,61
USW00023271,2000,100
USW00093225,2000,94
USW00023271,2000,78
USW00093225,2000,83
USW00023271,2000,72
USW00093225,2000,72
USW00023271,2000,78
USW00093225,2000,78
USW00023271,2000,106
USW00093225,2000,100
USW00023271,2000,100
USW00093225,2000,94
USW00023271,2000,61
USW00093225,2000,56
USW00023271,2000,89
USW00093225,2000,78
USW00023271,2000,61
USW00093225,2000,61
USW00023271,2000,39
USW00093225,2000,39
USW00023271,2000,50
USW00093225,2000,50
USW00023271,2000,100
USW00093225,2000,100
USW00023271,2000,83
USW00093225,2000,56
USW00023271,2000,89
USW00093225,2000,89
USW00023271,2000,61
USW00093225,2000,44
USW00023271,2000,33
USW00093225,2000,22
USW00023271,2000,61
USW00093225,2000,61
USW00023271,2000,111
USW00093225,2000,106
USW00023271,2000,83
USW00093225,2000,67
USW00023271,2000,67
USW00023271,2000,67
USW00093225,2000,56
USW00093225,2000,61
USW00023271,2000,39
USW00093225,2000,39
USW00023271,2000,78
USW00093225,2000,67
USW00023271,2000,44
USW00093225,2000,22
USW00023271,2000,72
USW00093225,2000,56
USW00023271,2000,89
USW00093225,2000,83
USW00023271,2000,72
USW00093225,2000,67
USW00023271,2000,78
USW00093225,2000,78
USW00023271,2000,61
USW00093225,2000,50
USW00023271,2000,78
USW00093225,2000,67
USW00023271,2000,50
USW00093225,2000,28
USW00023271,2000,100
USW00093225,2000,94
USW00023271,2000,67
USW00093225,2000,56
USW00023271,2000,78
USW00093225,2000,56
USW00023271,2000,89
USW00093225,2000,78
USW00023271,2000,72
USW00093225,2000,67
USW00023271,2000,111
USW00093225,2000,94
USW00023271,2000,72
USW00093225,2000,72
USW00023271,2000,78
USW00093225,2000,61
USW00023271,2000,111
USW00093225,2000,106
USW00023271,2000,89
USW00093225,2000,83
USW00023271,2000,100
USW00093225,2000,89
USW00023271,2000,89
USW00093225,2000,61
USW00023271,2000,94
USW00093225,2000,78
USW00023271,2000,72
USW00093225,2000,33
USW00023271,2000,72
USW00093225,2000,67
USW00023271,2000,72
USW00093225,2000,39
USW00023271,2000,89
USW00093225,2000,89
USW00023271,2000,72
USW00093225,2000,61
USW00023271,2000,67
USW00093225,2000,94
USW00023271,2000,78
USW00093225,2000,61
USW00023271,2000,111
USW00093225,2000,89
USW00023271,2000,111
USW00093225,2000,89
USW00023271,2000,128
USW00093225,2000,100
USW00023271,2000,133
USW00093225,2000,94
USW00023271,2000,111
USW00093225,2000,100
USW00023271,2000,89
USW00093225,2000,50
